participant,Label,Condition,PANAS_Active,PANAS_Distressed,PANAS_Interested,PANAS_Inspired,PANAS_Annoyed,PANAS_Strong,PANAS_Guilty,PANAS_Scared,PANAS_Hostile,PANAS_Excited,PANAS_Proud,PANAS_Irritable,PANAS_Enthusiastic,PANAS_Ashamed,PANAS_Alert,PANAS_Nervous,PANAS_Determined,PANAS_Attentive,PANAS_Jittery,PANAS_Afraid,PANAS_Stressed,PANAS_Frustrated,PANAS_Happy,PANAS_Angry,PANAS_Irritated,PANAS_Sad,STAI_At_Ease,STAI_Nervous,STAI_Jittery,STAI_Relaxed,STAI_Worried,STAI_Pleasant,SAM_Valence,SAM_Arousal,SSSQ_Committed,SSSQ_Succeed,SSSQ_Motivated,SSSQ_Reflected,SSSQ_Worried,SSSQ_Concerned
S2,1,Base,1,1,3,2,1,3,1,1,1,2,2,2,2,1,4,3,4,4,2,2,2,1,2, ,,1,3,2,1,4,2,3,7,2,,,,,,
S2,2,Stress,3,2,4,1,3,3,1,2,1,4,2,4,3,1,5,4,4,4,2,3,3,3,2,1,3,1,1,3,2,1,3,1,5,4,5,5,4,4,3,5
S2,3,Amuse,1,1,2,3,1,1,1,1,1,1,1,1,2,1,4,1,1,3,1,1,1,2,3,,,1,3,1,1,3,1,4,8,2,,,,,,
S3,1,Base,3,1,5,3,1,4,3,1,1,4,3,1,3,2,4,2,3,4,2,1,1,1,4,,,1,3,1,1,4,2,3,7,4,,,,,,
S3,2,Stress,4,4,5,3,1,3,1,4,1,5,3,1,3,4,4,5,4,4,3,4,4,4,2,1,3,1,2,4,3,1,2,1,7,7,4,5,4,4,5,5
S3,3,Amuse,4,1,5,5,1,3,2,1,1,4,2,1,5,3,4,1,3,4,3,1,1,1,4,,,1,4,1,3,3,1,4,8,4,,,,,,
S4,1,Base,1,2,3,2,2,1,1,1,1,1,1,2,1,1,3,1,1,2,1,1,1,2,2,,,1,3,1,1,4,1,2,7,2,,,,,,
S4,3,Amuse,1,1,4,4,1,1,1,1,1,3,1,1,3,1,3,1,1,4,1,1,1,1,3,,,1,3,1,1,4,1,3,8,7,,,,,,
S4,2,Stress,4,2,2,1,1,1,1,1,1,2,1,1,1,1,4,4,3,4,2,1,2,3,1,2,4,1,1,3,2,2,1,1,5,7,3,4,3,4,5,4
S5,1,Base,1,1,4,3,1,3,1,1,1,4,1,1,4,1,4,2,4,4,1,1,2,1,3,,,1,4,2,1,3,1,2,7,2,,,,,,
S5,3,Amuse,1,1,3,3,1,2,1,1,1,3,1,1,1,1,3,1,1,3,1,1,2,1,2,,,1,3,1,2,2,1,2,6,2,,,,,,
S5,2,Stress,5,1,4,2,2,3,1,2,1,5,1,1,1,1,5,4,3,4,3,1,4,1,2,1,2,1,1,3,2,1,2,2,5,8,5,5,5,5,3,2
S6,1,Base,2,1,5,4,1,4,1,2,1,4,3,1,4,1,4,1,3,4,2,1,2,1,4,,,1,4,2,1,4,2,3,8,2,,,,,,
S6,2,Stress,5,1,4,4,1,4,1,2,1,4,4,2,3,1,5,3,4,4,2,2,2,1,4,1,1,1,2,3,2,2,2,3,6,3,4,4,4,2,2,2
S6,3,Amuse,2,1,4,4,1,3,1,3,1,3,2,1,4,1,4,2,2,4,3,2,1,2,4,,,1,4,2,2,3,2,4,8,2,,,,,,
S7,1,Base,1,1,4,3,1,2,1,1,1,1,2,1,3,1,5,1,2,4,1,1,1,1,4,,,1,4,1,1,4,1,2,7,2,,,,,,
S7,3,Amuse,2,1,4,5,1,2,1,1,1,2,1,1,5,1,5,1,1,4,1,1,1,1,4,,,1,4,1,1,3,1,4,7,7,,,,,,
S7,2,Stress,3,2,3,2,2,3,1,1,1,3,2,1,2,2,5,3,3,4,3,2,3,3,2,1,4,1,1,3,2,1,1,1,6,7,3,4,4,4,3,3
S8,1,Base,1,2,3,3,1,3,1,1,1,3,1,1,3,2,4,3,3,4,3,1,2,2,1,,,1,2,1,2,3,2,2,7,3,,,,,,
S8,3,Amuse,1,1,2,3,1,1,1,1,1,2,1,1,2,1,3,2,1,3,2,1,1,1,2,,,1,2,1,2,3,2,2,7,3,,,,,,
